ICV59,C(=C/C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(OCC)=O)=O)=O)\C=3C=C4C(=CC3)OCO4
ICV433,C([C@]1(O[C@@H](COC2=CC=C(C=C2)N3CCN(C(C)C)CC3)CO1)C4=C(Cl)C=C(Cl)C=C4)N5C=NC=N5
ICV22,[C@H](CC1C(=O)NCC1)(C(C(NC(C)C)=O)=O)NC([C@@H](NC(OCC2=CC=CC=C2)=O)CC(C)C)=O
ICV346,O=C(C1CCN([C@@H](C2=C3C=CC=CC3=CC=C2)C)CC1)NCC4=CC(OC)=NC=C4
ICV109,O=C(C1=NC2=CC=CC=C2S1)[C@H](C[C@H]3C(NCC3)=O)NC([C@H](CC(C)C)NC(C4=CC=CN4)=O)=O
ICV317,[C@@H](C)(C=1C2=C(C=CC1)C=CC=C2)N3CCC(C(NCC4=CC=C(OC)C=C4)=O)CC3
ICV373,C(C=C(C)C)C1=C(C=C2C(=C1O)OC(C)(C)C=C2)[C@H]3OC=4C(CC3)=CC=C(O)C4
ICV66,[C@H](CC1=CC=CC=C1)([C@H](C[C@H](CC2=CC=CC=C2)NC(COC3=C(C)C=CC=C3C)=O)O)NC([C@@H](NC(/C=C/C4=CC=C(OC)C=C4)=O)CC(C)C)=O
ICV196,O=C1C(=O)N(C2=CC=C(I)C=C12)CC=3SC(=CC3)C(=O)N4CCCCC4
ICV353,[C@@H](NC(=O)C1=CC(CN)=CC=C1C)(C)C=2C3=C(C=CC2)C=CC=C3
ICV73,O=C(OCCC=1C=CC=CC1)C2=C(NC3CCCC(=O)C3C2C=4C=CC=CC4N(=O)=O)C
ICV369,C(/C=C/C1=CC=C(O)C=C1)(=O)C=2C=C3C(OC(C)(C)C=C3)=CC2O
ICV643,[C@@H](C[C@H]1C(=O)NCC1)(NC([C@H](CC2CCCCC2)NC(OC3CCC(F)(F)CC3)=O)=O)C(S(=O)(=O)O)O
ICV10,C(=O)(N1[C@H](CN[C@@H](CC2=CN=CN2)C=O)C[C@@]3([C@@](C1)(CCCC3)[H])[H])C4=CC=C(Br)C=C4
ICV742,C(NC(CC1CCC1)C(C(N)=O)=O)(=O)[C@@H]2[C@@]3([C@@](C3(C)C)(CN2C([C@@H](NC(NC(C)(C)C)=O)C(C)(C)C)=O)[H])[H]
ICV263,O=C(C1=C(N2CC3=CC=CC=C3)C=CC(S(=O)(N4CC(C)CC(C)C4)=O)=C1)C2=O
